DATE,DLY-TMIN-NORMAL,DLY-TMAX-NORMAL,MTD-PRCP-NORMAL,WEATHER_CAT
20100824,527,777,216,1
20100825,524,774,225,1
20100826,521,770,234,1
20100827,518,767,242,1
20100828,515,764,250,1
20100829,511,760,259,1
20100830,508,757,267,1
20100831,504,753,275,1
20100901,501,749,8,0
20100902,497,745,16,0
20100903,493,741,23,0
20100904,489,737,31,1
20100905,485,733,39,1
20100906,481,729,46,1
20100907,476,725,54,1
20100908,472,720,61,1
20100909,468,716,68,1
20100910,463,711,75,1
20100911,459,707,82,1
20100912,454,702,89,1
20100913,450,697,96,1
20100914,445,693,103,1
20100915,441,688,109,1
20100916,436,684,116,1
20100917,431,679,122,1
20100918,427,674,129,1
20100919,422,669,135,1
20100920,418,665,142,1
20100921,413,660,148,1
20100922,409,655,154,1
20100923,404,650,161,1
20100924,400,646,168,1
20100925,395,641,174,1
20100926,391,636,181,1
20100927,387,631,188,1
20100928,382,627,195,1
20100929,378,622,202,1
20100930,374,617,208,1
20101001,370,612,7,0
20101002,366,607,13,0
20101003,361,602,20,0
20101004,357,597,27,1
20101005,353,592,33,1
20101006,349,587,40,1
20101007,346,582,46,1
20101008,342,577,53,1
20101009,338,572,58,1
20101010,334,567,64,1
20101011,330,562,70,1
20101012,326,556,76,1
20101013,322,551,82,1
20101014,318,545,88,1
20101015,315,540,94,1
20101016,311,534,100,1
20101017,307,528,106,1
20101018,303,522,112,1
20101019,299,516,117,1
20101020,295,511,123,1
20101021,291,504,128,1
20101022,287,498,133,1
20101023,283,492,137,1
20101024,279,486,141,1
20101025,274,479,145,1
20101026,270,473,149,1
20101027,266,466,154,1
20101028,261,460,158,1
20101029,257,453,161,1
20101030,252,447,165,1
20101031,248,440,169,1
20101101,243,433,3,0
20101102,238,426,6,0
20101103,233,419,9,0
20101104,228,413,12,0
20101105,223,406,15,0
20101106,218,399,18,0
20101107,213,392,21,0
20101108,207,385,24,0
20101109,202,378,27,1
20101110,197,371,30,1
20101111,191,365,32,1
20101112,186,358,35,1
20101113,180,351,38,1
20101114,175,344,41,1
20101115,169,338,43,1
20101116,163,331,46,1
20101117,157,325,49,1
20101118,152,318,51,1
20101119,146,312,54,1
20101120,140,306,57,1
20101121,134,300,60,1
20101122,129,294,62,1
20101123,123,288,65,1
20101124,117,282,67,1
20101125,112,276,70,1
20101126,106,271,72,1
20101127,100,265,74,1
20101128,95,260,77,1
20101129,89,254,79,1
20101130,84,249,81,1
20101201,78,244,3,0
20101202,73,239,5,0
20101203,68,234,8,0
20101204,63,230,11,0
20101205,58,225,13,0
20101206,53,221,16,0
20101207,48,216,19,0
20101208,44,212,22,0
20101209,39,208,24,0
20101210,34,204,27,1
20101211,30,200,30,1
20101212,26,196,32,1
20101213,22,193,35,1
20101214,18,189,37,1
20101215,14,186,39,1
20101216,10,182,41,1
20101217,7,179,44,1
20101218,3,176,46,1
20101219,0,173,48,1
20101220,-4,170,50,1
20101221,-7,168,52,1
20101222,-10,165,53,1
20101223,-13,162,55,1
20101224,-15,160,58,1
20101225,-18,158,60,1
20101226,-21,156,62,1
20101227,-23,154,64,1
20101228,-25,152,67,1
20101229,-27,150,69,1
20101230,-29,148,71,1
20101231,-31,147,73,1
